Variables,Site,Zone,Season,Tide,Param_means,Param_vars,Param_sd
NN,BP,Ambient,FALL,High,0.16999999999999998,0.011349999999999999,0.10653637876331258
NN,BP,Ambient,FALL,Low,1.8940000000000001,15.743780000000001,3.9678432428713712
NN,BP,Ambient,SPRING,High,0.16999999999999998,1.333333333333332e-4,0.011547005383792509
NN,BP,Ambient,SPRING,Low,0.126,0.00218,0.04669047011971501
NN,BP,Diffuse,FALL,High,0.352,0.09970666666666665,0.31576362467305613
NN,BP,Diffuse,FALL,Low,3.531,5.594876666666667,2.3653491637952033
NN,BP,Diffuse,SPRING,High,0.708,0.13061777777777775,0.3614108158007695
NN,BP,Diffuse,SPRING,Low,2.918,13.70017,3.7013740691802552
NN,BP,Transition,FALL,High,0.386,0.031129999999999998,0.17643695757975425
NN,BP,Transition,FALL,Low,4.508,3.83182,1.9575035121296718
NN,BP,Transition,SPRING,High,0.986,0.09713000000000001,0.311656862590895
NN,BP,Transition,SPRING,Low,22.032,110.20487,10.49785073241185
NN,W,Ambient,FALL,High,0.1625,0.002678571428571429,0.05175491695067657
NN,W,Ambient,FALL,Low,0.12125000000000001,5.839285714285715e-4,0.024164614034338963
NN,W,Ambient,SPRING,High,0.14875,0.0011553571428571429,0.03399054490379851
NN,W,Ambient,SPRING,Low,0.18875,0.0013839285714285715,0.03720119045714225
NN,W,Diffuse,FALL,High,0.2575,0.03722142857142858,0.19292855820595503
NN,W,Diffuse,FALL,Low,0.3425,0.16156428571428574,0.4019506010871059
NN,W,Diffuse,SPRING,High,0.19375,3.982142857142857e-4,0.019955307206712847
NN,W,Diffuse,SPRING,Low,1.5775000000000001,6.0510785714285715,2.4598940163000056
NN,W,Offshore,SPRING,High,0.095,5.000000000000009e-5,0.007071067811865481
NN,W,Offshore,SPRING,Low,0.165,0.0024500000000000004,0.04949747468305833
NN,W,Transition,FALL,High,0.25,0.0012666666666666662,0.03559026084010437
NN,W,Transition,FALL,Low,2.3925,6.069491666666667,2.463633833723402
NN,W,Transition,SPRING,High,0.24,8.666666666666675e-4,0.029439202887759502
NN,W,Transition,SPRING,Low,4.8425,11.350758333333333,3.3690886502633517
Phosphate,BP,Ambient,FALL,High,0.112,1.6999999999999996e-4,0.013038404810405297
Phosphate,BP,Ambient,FALL,Low,0.144,0.00983,0.0991463564635635
Phosphate,BP,Ambient,SPRING,High,0.18,0.0014,0.03741657386773942
Phosphate,BP,Ambient,SPRING,Low,0.12200000000000001,4.200000000000001e-4,0.0204939015319192
Phosphate,BP,Diffuse,FALL,High,0.125,2.2777777777777773e-4,0.015092308563562359
Phosphate,BP,Diffuse,FALL,Low,0.23199999999999998,0.012262222222222221,0.11073491871231143
Phosphate,BP,Diffuse,SPRING,High,0.161,1.8777777777777776e-4,0.013703203194062976
Phosphate,BP,Diffuse,SPRING,Low,0.184,0.008130000000000002,0.0901665126307988
Phosphate,BP,Transition,FALL,High,0.12,5.000000000000002e-5,0.007071067811865477
Phosphate,BP,Transition,FALL,Low,0.256,0.002930000000000001,0.054129474410897445
Phosphate,BP,Transition,SPRING,High,0.17,3.5000000000000005e-4,0.01870828693386971
Phosphate,BP,Transition,SPRING,Low,0.65,0.06065,0.24627220712049502
Phosphate,W,Ambient,FALL,High,0.105,6.285714285714284e-4,0.025071326821120347
Phosphate,W,Ambient,FALL,Low,0.08625000000000001,2.2678571428571433e-4,0.015059406173077156
Phosphate,W,Ambient,SPRING,High,0.12,1.1428571428571436e-4,0.01069044967649698
Phosphate,W,Ambient,SPRING,Low,0.10625,1.9821428571428572e-4,0.014078859531733589
Phosphate,W,Diffuse,FALL,High,0.0975,4.214285714285714e-4,0.02052872551885702
Phosphate,W,Diffuse,FALL,Low,0.0825,0.0022785714285714284,0.0477343841331532
Phosphate,W,Diffuse,SPRING,High,0.115,8.571428571428569e-5,0.009258200997725513
Phosphate,W,Diffuse,SPRING,Low,0.20500000000000002,0.017942857142857142,0.13395095051121192
Phosphate,W,Offshore,SPRING,High,0.16,7.999999999999992e-4,0.028284271247461888
